userName,content,score,at,label
Dodi Doank,"Terimaksih kepada my m3 atas kuota gratis nya yang terus berkepanjangan ,,, kumpulkan poin mu ambil kuota gratis mu",5,2024-01-31 01:24:17,positif
Wulandari SMD Blitar,bagus,5,2024-01-31 01:12:03,positif
aj Cell,aku suka mylm3,5,2024-01-31 01:10:10,positif
Zizi 88,Aplikasi bagus dan keren banget 👍,5,2024-01-31 01:06:51,positif
Abuya Syafrudin Hua,apk super bagus,5,2024-01-31 01:05:23,positif
Arsya fikri S,"blok. gak iso tuku paketan lurr, Asuuuu",1,2024-01-31 01:04:14,negatif
Nina Rastina,okkk dan memuaskan,5,2024-01-31 01:03:36,positif
Aswadi,bagus,5,2024-01-31 01:02:32,positif
Hidayat Dayat,okeee bangettt,5,2024-01-31 01:01:28,positif
Eka Purwati,jaringan mudah di jangkau,4,2024-01-31 00:56:33,positif
lya Astuti,👍,1,2024-01-31 00:51:07,negatif
Anton sujarwo Sujarwo,mantuuuullll banget,5,2024-01-31 00:50:41,positif
Aris Darmawan,"Paketan semakin boros, semakin mahal, sering ngelag.. Baru kali ini aku ngrasain hal terburuk selama pake M3 selama hampir 25 thn 😞",1,2024-01-31 00:47:14,negatif
Resya Andika,gak jls banget ni apk cuma buka aplikasi nya buat beli paket data malah pulsa berkurang terus,2,2024-01-31 00:29:12,negatif
23 M.Maulana Fahrezi,Tolong buat developer nya tolong diperbaiki buat pembayaran shopepay nya soalnya sering banget ngebug hampir setiap beli di nomor satunya juga gitu setiap beli sering banget ngebug,2,2024-01-31 00:19:24,negatif
Dona “Tn X” Sarnubi,1 dulu? kalau gak ngecewain tambah bintang!!!,1,2024-01-31 00:01:45,negatif
Qiana Qia,trimakakasih tlah mbantu kami yv di pelpsok,5,2024-01-30 23:56:52,positif
Mila Sari,baikk,5,2024-01-30 23:51:13,positif
Ridho fitrah ardiansyah,apk yg sanggat membantuu,5,2024-01-30 23:44:31,positif
airbomasaf mantaf,Oke,5,2024-01-30 23:44:19,positif
YanzZTuru,Knpa paket saya tiba“berhenti padahal saya baru beli 3 hari yg lalu mohon di jawab karna saya sudah sering kaya begini,1,2024-01-30 23:43:18,negatif
Inun,"1. Anjay promo nya banyak tpi pas dibeliin pulsa tiba² promo nya hilang ibarat kata kek ga bertanggung jawab bngt gtu loh masa udh di beliin pulsa malah hilang promo nya. 2. Kuota nya cepet bngt habisnya, saya udh pernah bandingin indosat sm xl saya tes pake liat tiktok dan ternyata indosat cepet banget habisnya dan 100% lbh irit xl....! 3. Point di myim3 tuh ga guna, masa ditukerin kuota malah tambah pulsa 4k itu sama aja beli kuota dan point nya ga guna, bedalagi sm xl nukerin pke point aja",1,2024-01-30 23:42:30,negatif
Rehan Koclok,kurang promo,5,2024-01-30 23:41:42,positif
Ilvan Van zee,mantap,5,2024-01-30 23:36:56,positif
Stern ritter,Mau login aja susah bangsad,1,2024-01-30 23:34:03,negatif
Yantoalpakir Alpakir,jaringan nya bagus,5,2024-01-30 23:31:15,positif
Ali bodong,"Katanya TDK motong pulsa..tapi kok pulsa biasa dengan sendirinya habis pdhal Bru beli paket data. Hadeeehhhh Mimin Operator kalo bisa pulsa d konci.. seperti oprat sebelah.. Masa 4 hari yg lalu sisa pulsa Masih 13 RB sekian... Kini tinggal 400 RB . setelah pembelian data aku TDK ngapa"" in.. 🙏",3,2024-01-30 23:28:48,negatif
Budi Siswanto,mudah sekali,5,2024-01-30 23:28:26,positif
MR. X,Yo ndak tau,3,2024-01-30 23:26:07,negatif
adit arvian,terbaik,5,2024-01-30 23:20:05,positif
Sofian Bae,Aplikasi myIM3.. sering pembaharuan tapi susah kalau mau cek pulsa dan data.. pulsa juga masih sering terpotong...,1,2024-01-30 23:17:21,negatif
Nur Ali,Ok,5,2024-01-30 23:09:22,positif
Yogi Swara,Apaan ni aplikasi suka nge bug tiap mau buka selalu loading screen mulu nga bisa buka lanjut ke menu utama,1,2024-01-30 23:06:39,negatif
Muhammad Lathif ramadhani,Kuota terjelek gangguan trus gk work it,1,2024-01-30 22:45:16,negatif
Kang Viray,Gak JELASSSSS....!!!,1,2024-01-30 22:44:23,negatif
Ali Bot,"Ah males gw beli pulsa 50rebu ga masuk2,lah beli pulsa darurat 10rebu tiva2 hilang gw kecewa sama indosat",1,2024-01-30 22:41:19,negatif
Nur S,mantap,5,2024-01-30 22:40:57,positif
Apana Siti,Jaringan busuk,1,2024-01-30 22:38:58,negatif
La Anti,"bagus, komplit jaringan kadang sedikit lalot",4,2024-01-30 22:25:48,positif
mobile legends,kenapa harga paket internet semakin mahal ? 50k cuma dapat 12gb. dulu 50k dapat 25gb. hadeh ... kayaknya waktunya pindah ke OPERATOR sebelah yg dpt lbih banyak kuota dengan harga yang sama dan sinyal lebih baik.,1,2024-01-30 22:19:55,negatif
Rizky Bakti Kurniawan,Saya isi paket kuota yg 30GB tau tau hilang dan tergantikan pinjaman kuota 700MB 4hari.. kok bisa sih? Kenapa langsung berganti dan hangus aja kuota utama saya kenapa tidak ada pertanyaan sebelum mengganti kuota utama atau kenapa harus menghilangkan paket utama?,1,2024-01-30 21:10:53,negatif
Reza dandi,"Aplikasi masih cacat, kepencet game pada aplikasi tidak bisa tekan tombol kembali malah harus tutup aplikasi baru bisa keluar, tidak layak sekali . mohon upgrade, Aplikasi cacat,",1,2024-01-30 21:10:46,negatif
REZA SFITRA,Myim3 tidk kaya dlu sekarang jalek,1,2024-01-30 20:50:04,negatif
Juni Nandar,Benerin napa sinyal dah berapa taun gak masih aja sama kaya dulu mana peningkatan nya,1,2024-01-30 20:48:40,negatif
yasir JANGGER,keren,5,2024-01-30 20:26:46,positif
Abdul Azis,Terbaik,5,2024-01-30 20:23:33,positif
Yasinta Rahma,bagus,5,2024-01-30 20:14:11,positif
Tarmedi,baik,2,2024-01-30 20:06:21,negatif
Van Basten,sangat mudah untuk digunakan,4,2024-01-30 19:48:32,positif
riski Iki,sangat baik,5,2024-01-30 19:45:50,positif
Mahendri Jaya syahputra,Internet lemot kalau sudah malam dan dibuat maen game malah nge lag gak karuan. Apalagi kalau habis hujan makin parah main game nya....,1,2024-01-30 19:41:49,negatif
E MUAMAR S,Seharusnya masa aktif internet pukul atau waktunya habis dicantumkan. Jangan cuma tersisa 1 hari...,1,2024-01-30 19:39:40,negatif
Rizki Lahi,sangat bermanfaat,5,2024-01-30 19:04:20,positif
Arvan Rio,Sinyal jelek banget di wilayah Jateng brebes Tonjong Kalijurang,2,2024-01-30 19:02:13,negatif
Robby Nugraha,ok,4,2024-01-30 19:01:28,positif
Nur Hikmah,sangat bagus,5,2024-01-30 18:47:13,positif
Keto Be,"Memang gk habis akal busuk lo sbg penyedia layanan, sekarang lo ngirim pop up langgananan rbt scam saat pengguna lagi mau menggunakan mesin pencarian yg dimana keyboard penggunan pasti akan di gunakan langsung.",1,2024-01-30 18:38:30,negatif
Rafasya Alfariq,sampurna myIm3 the besst,5,2024-01-30 18:35:48,positif
Firman Gaming 021,Saya sudah kapok lakekt mtri mulai skrg saya mau ganti buat pengguna emtri cpt tan ganti sebelum anda ngerasain ngelag lebih parah pakek Telkomsel enak broo buat admin emtri saran deh kalau kartu lah jangan di naikin harga kuota nya mana ngelag lemot hadeh admin ga bertanggung jawab,1,2024-01-30 18:35:34,negatif
Sodiq Sabila,matul,5,2024-01-30 18:27:50,positif
Ani Rafli,mantap,5,2024-01-30 18:26:45,positif
DR Chanel,"Indosat selalu gangguan, sudah sehari tidak ada signal",1,2024-01-30 18:21:36,negatif
Andika Septiawan,"Bertahun-tahun menggunakan im3 awalnya sinyal lancar bagus tidak banyak kendala seperti yang saya alami saat ini, apalagi di kala hujan sinyal makin hancur, kualitas kalian makin memburuk, ayo lah di perbaiki kami sebagai penggguna im3 jujur merasa kecewa dengan kendala yang saat ini kami alami, semoga untuk kedepannya kualitas jaringan makin membaik, tidak masalah harga paket mahal kalau jaringan lancar, Terimakasih",2,2024-01-30 18:12:38,negatif
Lato Lato39,sangat bagus,4,2024-01-30 18:08:31,positif
Dasjim Be,baik,3,2024-01-30 18:06:16,negatif
Uco Bm,kartu anjg event panjat kuotanya bikin emosi,1,2024-01-30 18:04:38,negatif
Via Afrianti18,sering sering kasih bonus hehe,5,2024-01-30 18:02:50,positif
Kustari Tari,"Im3 pelayanan buruk,mau menguntungkan diri sendiri,sinyal/jaringan susah kadang putus.dan semua tarip harga naik tapi data dikurangi.semua tentang M3/indosat bobrok",1,2024-01-30 17:59:00,negatif
Yusril Efendi,Aplikasi ini bagus loh tapi banyak yang gak ngerti makeknya itu makanya aku kasih bintang 5 🌀,5,2024-01-30 17:54:48,positif
Muhamad Arkha Al Fatih,sangat baik,4,2024-01-30 17:54:35,positif
Rahmat Mat,minta paket Saya,5,2024-01-30 17:53:27,positif
Ahmad Baehaqi,bagus banget dan sangat membantu untuk menjadi lebih baik,5,2024-01-30 17:51:13,positif
Afdhal Saputra,"mahal, sinyal susah bngtt",1,2024-01-30 17:22:48,negatif
GALIHRULLY Ramadhani,jos,1,2024-01-30 17:20:15,negatif
Awaludin Ludi,puas,5,2024-01-30 17:17:01,positif
Feri Irawan,sangat bagus,5,2024-01-30 17:15:28,positif
teguh susanto,good job,5,2024-01-30 17:00:29,positif
Veriyadi Yadhi,lumayan bagus ....👍👍👍👍,4,2024-01-30 16:44:56,positif
Yuda Botak,Kenapa ya mau beli paket extra kuota d *123*222# qo gak bisa ya...🤔,5,2024-01-30 16:34:31,positif
Dwi Widayati,Nice try,1,2024-01-30 16:30:26,negatif
PANGERAN ANSOR,"Isi pulsa 10.000 Dapat 2GB dan 500MB dapat pengisian 8000. Berkurang 2000 sisa 6000 pulsa.masuk berlangganan berkurang 2000 sisa 4000,berhenti berlangganan.tombol pembelian 100 poin 1gb,pulsa 4000 hilang.300 poin sisa 200 . 600mb sisa 0 hari.",5,2024-01-30 16:26:50,positif
Ihsan Bayem,"GA JELAS, KESERINGAN GANGGUAN!! SAYA MAU ISI PAKETAN GA BISA BISA",1,2024-01-30 16:26:27,negatif
M.Rinal Mandai,Saya beli paket 70gb 140 rb diamond vidio tapi vidio saya gk dapat diamond sih? 😡,1,2024-01-30 16:23:29,negatif
Ahmad Rojiyan,jaringannya kok sering putus putus sih yg menyebabkan saya sering klah maen game,2,2024-01-30 16:19:24,negatif
Cantika Dewi,bagus,5,2024-01-30 16:18:33,positif
Leman S,alus pisan,5,2024-01-30 16:16:59,positif
Razata1122 Raza,Bagus,5,2024-01-30 16:12:18,positif
pecinta seni,emang taik paket internet indosat....mahal iya boros pula,2,2024-01-30 16:04:37,negatif
Amun Reway,My M3 keren,5,2024-01-30 16:03:02,positif
Histeel Cibubur,mantap,5,2024-01-30 15:59:28,positif
Ayu Srirahayu Ningrat,"SINYAL PALING PARAAAAAAAAH DI DKI SAJA SINYAL TERPARAH INDOSAT,PANTAS MURAH SESUAI DGN KUALITASNYA,SELALU GANGGUAN DAN GANGGUAN,KACAUUUUU MEMANG YG MURAH ITU GA BAGUS",1,2024-01-30 15:58:38,negatif
M rizki Nurpajri,👍,5,2024-01-30 15:54:43,positif
Alvito Putranto,sinyal indosat sekarang bonto/ilang ilangan ga jelas,1,2024-01-30 15:47:54,negatif
Reyzika,"Makin hari, sinyalnya makin goib, ilang ilang mulu, percuma gua beli paket banyak banyak, kuota banyak jaringan gak ada, gak balance, di benahin lagi sinyalnya, paket standar gak murah gak mahal, tapi kualitas low parah",1,2024-01-30 15:47:13,negatif
Nuni Rachmawati,"harga beli paket di aplikasi lebih mahal ketimbang marketplace. banyak pilihan paket di marketplace ada, di app malah tidak ada. kalau ada keluhan ribet harus via email baru bisa, via app yg jawab robot. keluhan via email pun jawaban CS nya tidak memuaskan.",2,2024-01-30 15:46:24,negatif
Imas Juliyanti,mudah mudahan banyak bonus ny,5,2024-01-30 15:44:12,positif
Chelia (Che),Pelayanannya gak membantu,1,2024-01-30 15:35:36,negatif
pinoangkat Ankatmar,saya suka bagnttt,5,2024-01-30 15:27:47,positif
Arfantio Iwan,ok lancar,5,2024-01-30 15:21:08,positif
loss gaming,baik,1,2024-01-30 15:17:05,negatif
Nuer Ajril,"Paketan mahal, jaringan kayak babi rekomendasi pindah kartu jangan Indosat apalagi kalau hujan tambah lemot hanya orang bodoh yang bertahan di kartu Indosat",1,2024-01-30 15:16:10,negatif
Moh Romy,Jaringan nya sangat buruk padahal paketan beli gak gratis tapi buat game sering merah kocak im3 mending tutup aja gulung tikar sono,1,2024-01-30 15:15:19,negatif
Tisna Brew,Bagus sekali,1,2024-01-30 15:09:23,negatif
Kungfu panda,"Mao ganti akun ajh lama nya bikin emosi, kirim kode OTP ajh lama ke nomer ke 2, tapi kenomer pertama cepet? Gimana sih",1,2024-01-30 15:09:15,negatif
Met Slamet,Sinyal semakin jelek,1,2024-01-30 15:08:38,negatif
Kirrun Cuiuchiha,Jaringan nya makin sini makin jelek bangetttt sih..,1,2024-01-30 15:06:55,negatif
Sadidah,"IM3 PAKET MAHAL DOANG.saya kehilangan kuota saya 40 GB gegara di sedot paket sos, saya tidak akan pernah iklas, padahal saya tidak ada menyetujui paket tersebut, mungkin gegar muncul notif mengganggu saya pencet oke, BARU KALI INI SAYA KEHILANGAN PAKET 40 GB, PAKE KARTU LAIN SAYA TIDAK PERNAH KEHILANGAN PAKET. ANEH PADAHAL YELLOW SOS TIDAK BERGUNA SAMA SEKALI, SELAIN MENGAMBIL PAKET SAYA 40GB, saya tidak ikhlas dunia akhirat liat aja nanti.",1,2024-01-30 15:06:54,negatif
Sunda Gaming,Sumpah saya udah pake kartu Indosat udah bertahun-tahun baru kali ini kecewa banget sama Indosat sinyal makin hari makin jelek kalau tau gini mending pke operator sebelah Kecewa saya,1,2024-01-30 15:06:46,negatif
karrrambaby,sinyal ilang ilang mulu anj.. sinyal sering logo R,1,2024-01-30 15:05:41,negatif
Hafamedicaceter 12,well,5,2024-01-30 15:05:20,positif
ikadek edi ariawan,"kenapa ya jaringan Indosat sekarang jelek, dulu tidak seperti ini, saya main game ngeleg terus, tolong dong diperbaiki, buka semua aplikasi jaringannya tidak stabil, padahal sudah beda tempat, tetep saja jelek jaringannya, tolong diperbaiki ya, baru saya kasi bintang 5",1,2024-01-30 15:05:01,negatif
"Ria Apriyani Insyira, Valiqa, Fabian",ok,5,2024-01-30 15:01:26,positif
Sri Hartati,tlg sinyalnya di perbaiki lg. karna sinyal MP3 sy suka ilang2,3,2024-01-30 15:00:41,negatif
Ketut Sume,Jaringan makin burik harga pun melunjak...aplikasi m3 gk jls,2,2024-01-30 14:57:34,negatif
Rizky Fadillah,mantab,4,2024-01-30 14:55:20,positif
Jro Risma,bagus,5,2024-01-30 14:53:42,positif
Sho Loon,terbaik,5,2024-01-30 14:51:33,positif
Sutrisno Japari,Jaringannya sangat jelekkkkkk,1,2024-01-30 14:51:07,negatif
Jandi Hermawan,semoga pelayanan semakin bagus terutama jaringan,5,2024-01-30 14:50:10,positif
Takin 231,apk gak guna,1,2024-01-30 14:46:54,negatif
Firza Rinaldi,Pinjem pulsa darurat udah masuk malah nggak bisa dipake taekkk lah,1,2024-01-30 14:42:23,negatif
Dino Prayoga,Teruntuk pihak my_im3 Tolong bantu keluhan kami terkait : - HARGA PAKET TERLALU MAHAL - SINYAL YANG SERING KALI HILANG PADA SAAT MAU DI GUNAKAN. DAN KENDALA LAIN SEMOGA CEPAT DI TINDAK LANJUTI. KAMI RAKYAT KECIL SANGAT MEMINTA TOLONG 🙏🙏🙏🙏🙏🙏,2,2024-01-30 14:41:57,negatif
Irwan Wibisana,Tanggapan cepat,5,2024-01-30 14:35:29,positif
Adam Tolol,Sinyal nya jelek bgt pdhl baru isi paketan tpi msh tetep ngeleg,1,2024-01-30 14:34:18,negatif
adiiansyah,paketan tidak di sarankan untuk kaum naik darah karna indosat ini jaringan buruk customer servic kaya gabisa betulin aneh bat,1,2024-01-30 14:33:39,negatif
Bayu,Sinyal gangguan Mulu,1,2024-01-30 14:32:41,negatif
Mufid Apik,Sinyal selalu jelek Indosat,1,2024-01-30 14:23:08,negatif
Jack Sibau,sangat memuaskan pakai myim3,5,2024-01-30 14:22:51,positif
Anime Gamers,"woyy balikin saldo gopayku!!!!, apk gk bertanggung jawab masak saya beli paket data malah gagal dan anehnya gopay ku gk pulang tanggung jawab dongg mau komplen di akun resmi malah di persulit",1,2024-01-30 14:21:08,negatif
Tiok18,ancak bana,5,2024-01-30 14:12:13,positif
Reyhan,"Harga kuota mahal tapi ga setimpal sama kecepatan sinyalnya, hadeuh",1,2024-01-30 14:09:48,negatif
Alya Cantik,"Butut anying ah, hyoh we pulsa aing di potongan, majar teh make pulsa darurat Aing maah make pulsa darurat ge Hnte anying tolol ahh",1,2024-01-30 14:08:48,negatif
Syahrul Rizal,sinyal jelek mending jangan di pake mending pke tri,2,2024-01-30 14:07:00,negatif
Nada Senaider,"Udah paket nambah mahal terus, sinyal jelek sejelek jeleknya sinyal",1,2024-01-30 14:06:14,negatif
Muhammad Fajar Fajar,Kuota makin mahal tapi sinyal burik banget,1,2024-01-30 14:05:52,negatif
andri sujana,Heran indosat kuota banyak pake nonton buffering terus ....,2,2024-01-30 14:02:14,negatif
Nurcholis Muhammad,Sinyal sangar buruk untuk bermain game online. Jumpibg sangat besar hingga 234ms. Mohon diperbaiki,1,2024-01-30 14:01:19,negatif
Dino ka,"Burik bgt anjj sinyal nya, udh pulsa suka tiba² berkurang ga di pke..mhal lagi kuota nya",1,2024-01-30 14:01:03,negatif
aditya sofyan,"kenapa akhir akhir ini sinyal Indosat semakin jelek?sering kali down sinyal internetnya,kadang ada sinyal tapi tidak ada internet,ada internet tapi ga jalan"".",1,2024-01-30 13:59:42,negatif
Abdul Lah,ok,5,2024-01-30 13:54:02,positif
Fauzan Afif,murah,5,2024-01-30 13:51:10,positif
ano supiano,oke,5,2024-01-30 13:48:46,positif
Dorci Dorci,mantap,5,2024-01-30 13:47:13,positif
Slamet sukur,Makin hari makin jelek sinyalnya,1,2024-01-30 13:42:58,negatif
Ebreg Bae,Punya temen syh murah ko punya saya mahal aneh ni my m3,5,2024-01-30 13:39:04,positif
Sugi tran,sangat baik,5,2024-01-30 13:34:22,positif
Saudi Muhammad,sangat membantu,5,2024-01-30 13:29:38,positif
Voza Suganda,Tolol kok setelah diupgret harga nya jau bener naik nya .,1,2024-01-30 13:28:26,negatif
Sandhi Sutarja,"Tanya indira buat apa dibikin kalau harus nunggu berjam"",, aneh sangat amat mengecewakan",1,2024-01-30 13:24:33,negatif
Wahyuni,M3 sekarang jaringannya lemot banget...apa lg klo buka video atau yutube adeeeh lemot banget...paketan jg cepat banget habis banyak banget nyedot datanya,1,2024-01-30 13:24:19,negatif
Paulus Miki,Sinyal tidak stabil dan jaringan tidak kuat apabila kita masuk ruangan tertutup tidak seperti proveder lain,1,2024-01-30 13:19:44,negatif
hendrik channel (hendrik prayoga),jaringan di tingkatkan lagi ya,5,2024-01-30 13:19:09,positif
Tursinah,bagus,5,2024-01-30 13:17:37,positif
Dadang Zulkifli,Jaringan tidak stabil,2,2024-01-30 13:17:02,negatif
Surya Yana,"Baru kali ini beli paket pagi 3gb, malam nya tiba2 habiss,, padahal gak bnyk buka yg aneh2,, error atau apa ini,,??",1,2024-01-30 13:16:41,negatif
Surya Storyy,"Sinyal suka hilang tiba tiba, teeus kalo mau masukin voucher internet susah banget",3,2024-01-30 13:15:43,negatif
Lusi,sangat membantu..,5,2024-01-30 13:15:40,positif
Shesilia ayu sitinjak,kurang puas,1,2024-01-30 13:15:39,negatif
Sandi Madura,"bagus banget , bisa pake kota duluat .. bayar nanti .. hehehehe",5,2024-01-30 13:12:21,positif
Bambang Irawan,"1m3 sangat terbaik,cuma sinyal tolong lebih kuatkan lagi untuk daerah perdesa,an..👍",5,2024-01-30 13:11:09,positif
Isal,Terima kasih untuk layanan internet terburuk yang pernah saya alami,1,2024-01-30 13:10:24,negatif
Rafi Maulana iksan,"Buruk payah saya beli kuota baru kemarin 5GB 5hari baru beli aja dah leg banget apalagi jaringan sering hilang sendiri Pas di cek di myIM3 masih 4GB saya cuman pake buat wa doang malah jam pasir dan setelah saya cek di myIM3 lagi kuota saya ko malah habis? Gimana nih saya merasa di rugikan kerana pengunaan yg normal malah menguras kuota yg gak normal, harga elit kualitas jaringan sulit 🗿",1,2024-01-30 13:09:31,negatif
Yuliyanti123,mantap,5,2024-01-30 13:06:13,positif
Resti Fauzi,mantap,5,2024-01-30 13:06:08,positif
Edyy Edyy,"Apaan coba jaringannya ,tiba tiba macet",1,2024-01-30 13:04:58,negatif
Zahra Hida Isfalana,kuotany mahal sinyal ilangan,3,2024-01-30 13:03:23,negatif
bagus samudra,Setelah gangguan kok makin boros ya pdhl kmrin2 tetep aja + Indosat ga murah Lo gangguan mulu nih,1,2024-01-30 13:02:14,negatif
Paimin Ngadiyem,Beli paketan diproses teros kek taii laaa,1,2024-01-30 13:02:02,negatif
Aldi Putra pamungkas,Kuota murah. Tapi jaringan buruk. Gk guna..b,1,2024-01-30 13:01:56,negatif
Ade Mahpudin,ok,5,2024-01-30 13:00:48,positif
Nur Fahrudin,sekarang kota nay mahal mahal kami mengeluh,3,2024-01-30 13:00:06,negatif
Dendi Akib,🥳,5,2024-01-30 12:59:48,positif
Heru Prihandono,sinyal sdh mulai bagus,4,2024-01-30 12:59:40,positif
azka ramdani,"Signal sering eror, paket intenet makin mahal",1,2024-01-30 12:59:40,negatif
Sigit,baik,1,2024-01-30 12:58:55,negatif
Tukul Tukul arwana,bagus,5,2024-01-30 12:56:49,positif
Win Dah,mantulllllllllllll,5,2024-01-30 12:54:55,positif
Devin Jr,ini Indosat di Jakarta kenapa error terus dan sering ngga ada signal woyy ?,1,2024-01-30 12:48:40,negatif
Diky Kiswanto,ya lumayan,3,2024-01-30 12:47:54,negatif
Jajang Farhan,Indosat kartu paling ampas di dunia kartu paling tolol di Indonesia knp sudah sering ganguan sinyalnya pun jelek banget,1,2024-01-30 12:44:19,negatif
Irsalina Solikah,"Jaringan kayak setannnnnnn,, anjirrrrrrrr. Nyesel make kartu ini. Setann...",1,2024-01-30 12:42:58,negatif
Alfebri Nur Hidayat,Makin lama makin ngeselin misal Kouta tambah mahal eh bukannya sinyalnya bagus palah sinyalnya kadang nggak ada jadi coba perbaiki jaringan dulu dong min biar nggak seperti Smartfren yg susah sinyal,3,2024-01-30 12:42:25,negatif
Andri RH,"Setelah di update, tidak bisa login. Kode OTP tidak diterima walaupun sufah coba bbrp kali.",1,2024-01-30 12:40:54,negatif
Dewi Nurita,"Tidak suka dengan aplikasi nya yang sekarang,,bagus yg dulu sebelum update",2,2024-01-30 12:39:45,negatif
Tdtdt Ydyd,Semakin update apk ini semakin kurang bagus!! Misalnya kenapa bisa masukan nomor telepon saya sudah coba memasuk nya kenapa selalu gagal kan anehh tolong lah di perbaiki seperti semula/dahulu🙏🙏🙏,1,2024-01-30 12:37:31,negatif
Ni Nyoman Suwantari,bgus,3,2024-01-30 12:34:11,negatif
SIPRIANUS SUJASMAN IKUN,murah meriah,5,2024-01-30 12:33:10,positif
Irfan Hidayat,"Gila ya, isat d pndglng kek 💩 Signal bapuk parah, apa lg klo kati lampu ish",1,2024-01-30 12:29:23,negatif
Suwarso Sondong,bagus,5,2024-01-30 12:26:00,positif
Maxlen Myrtacea,Akhir2 ini im3 parah bbrp waktu lalu jaringan lelet senasional dr pihak im3 mo kasih bonus 1 gb ke aplikasi im3 nyata nya BOHONG MAKIN KE SINI MAKIN PARAH INI AZA SINYAL LELET JD AQ KUDU RESTARS NE HP TTP AJA KDG HILANG SINYAL DAH GITU MANA KUOTA SMKIN MAHAL,1,2024-01-30 12:25:02,negatif
King You,GOOD,5,2024-01-30 12:20:44,positif
Nabilah Hasna Ramadhani,"Turunin harga woi, duit pas²an abis buat beli kuota doang 😮‍💨🙄",2,2024-01-30 12:11:47,negatif
Kifah Ibad,"semenjak diupdate makin kocak performanya , jaringan lemot , transaksi lama , hebat sekali perbaruannya",1,2024-01-30 12:10:57,negatif
Sanz Legacy,VoLTE tidak muncul sedangkan udah di aktifin di pengaturan tapi tetap ga muncul,1,2024-01-30 12:06:35,negatif
Nabil Adwansyah,"Indosat bego udah la pulsa sering di sedit kuota mahal, tambah lgi sinyal nya, lama lama indosat gua lapor lu ya",1,2024-01-30 12:05:07,negatif
hiro 30,sangat menarik,5,2024-01-30 12:02:46,positif
Suryadi munando Nando,ak kasih 3 dulu soal nya ak baru daftar,3,2024-01-30 12:01:17,negatif
Dudu Soposopo,mantab,5,2024-01-30 11:56:09,positif
Zakaa Kane,oke jhon,5,2024-01-30 11:54:43,positif
tuman rio,Mending ganti operator lain saya dah lama langanan tapi saya punya komplaint gak pernah di peroses dengan baik sinyal gak stabil padahal saya berada di kota tapi sinyal buruk ganguan terus noton yutub loding lama buat vidio call patah2 apalagi buat game parah saya merasakan 1 bulan gak ada perubahanya,1,2024-01-30 11:54:33,negatif
Nico,smoga lancar,5,2024-01-30 11:45:30,positif
D Wex,baik,5,2024-01-30 11:41:59,positif
Nurul Sabilah,Paketan mahal sinyalnya burik,1,2024-01-30 11:39:34,negatif
Fardana Khusen,jaringannya lumayan kuat,4,2024-01-30 11:38:54,positif
Anang Muliono,disaat hujan SINYAL KOYOK TEMPEK!!!! ASU,1,2024-01-30 11:37:28,negatif
Eggi Setiawan,bagus,4,2024-01-30 11:37:08,positif
Agus Mukti,gk bisa kata²lagi dah udah,5,2024-01-30 11:36:05,positif
Irlan Adhan Qizwini,"Jaringan nya lemot , ga stabil , padahal di daerah perkotaan , kadang buat buka apk nya aja suka ga bisa karna jaringan nya jelek.",1,2024-01-30 11:27:33,negatif
Dari Shoophe,"Sangat Buruk, aku liat ada promo begitu isi pulsa hilang promonya. Selain itu kuotanya sekarang mahal mahal lebih mahal dari sebelah ditembah lagi kadang kuota hilang beberapa ratus mb padahal pemakaian wajar",1,2024-01-30 11:27:24,negatif
luci fer,Paketan promo paling murah tetapi sinyal sering down maen game sering dc Saya menulis opini dengan sinya XL,2,2024-01-30 11:26:07,negatif
Shopi Indorasa,mudah di mengerti,5,2024-01-30 11:20:48,positif
rez nis,"Operator anjjnk tiap gw isi pulsa berapa pun itu suka di makan klo ga cepet"" di daftarin jadi kuota.data seluler keadaan mati ttp aja ilang pulsa nya.utang operator juga punya main ambil"" aja pulsa gua",1,2024-01-30 11:20:27,negatif
Fatkhur Rochman,Sinyal untuk tgl 30-01-2024 sangat buruk,1,2024-01-30 11:16:06,negatif
Akun Ke6,"mohon shop nya di keluarkan nomor 10 digit, hampir tiap hari aku buka aplikasi ini, hanya ingin membeli kartu perdana, tapi tidak muncul yang 10 digit",4,2024-01-30 11:09:11,positif
Refi Ahmad,keren,5,2024-01-30 11:08:24,positif
Tukiran,kntol,1,2024-01-30 11:05:34,negatif
Japprot Dule,mantap,3,2024-01-30 11:05:29,negatif
qORie .3018,"apalah indosat ni.... asal untuk main game FF.ML.INTERNETAN leleeeeet bgtttttt,",2,2024-01-30 11:05:24,negatif
Λl1c0rN [Moh. Irfan],"Beli paket di aplikasi kok malah pending mulu, biasanya langsung masuk dan pulsa terpakai",1,2024-01-30 11:04:12,negatif
Sapril Hadi,2024 jaringan Indosat bukan semakin membaik malah semakin buruk wilayah Jambi,1,2024-01-30 11:04:05,negatif
Hilal Mauludin,baik,4,2024-01-30 10:59:58,positif
Low Name,"Jaringan di siang hari selalu tidak stabil,dan di malam hari enak,kyak nyuruh nonton b................",2,2024-01-30 10:53:03,negatif
Minarni Mimi,Bagus sih bagus tapi beberapa hari ini ngelag bgt,5,2024-01-30 10:45:14,positif
Puyuh Yuh,Jaringan Indosat sekarang ngeleg Mulu kenapa yak?,3,2024-01-30 10:44:08,negatif
